t_s,T_inf_C,C_inf_kgkg
0.000000,28.000000,0.019630
60.000000,28.528000,0.020020
120.000000,29.192000,0.020530
180.000000,29.684000,0.021000
240.000000,30.037000,0.021510
300.000000,30.834000,0.021910
360.000000,31.293000,0.022330
420.000000,31.820000,0.022780
480.000000,32.121000,0.023250
540.000000,32.730000,0.023770
600.000000,33.202000,0.024280
660.000000,33.879000,0.024650
720.000000,34.268000,0.025060
780.000000,34.806000,0.025520
840.000000,35.142000,0.026120
900.000000,35.524000,0.026600
960.000000,36.091000,0.026870
1020.000000,36.354000,0.027320
1080.000000,37.067000,0.027930
1140.000000,37.419000,0.028260
1200.000000,37.882000,0.028910
1260.000000,38.134000,0.029210
1320.000000,38.767000,0.029610
1380.000000,39.125000,0.030290
1440.000000,39.458000,0.030510
1500.000000,39.595000,0.030980
1560.000000,40.061000,0.031370
1620.000000,40.238000,0.031790
1680.000000,40.621000,0.032190
1740.000000,41.166000,0.032620
1800.000000,41.513000,0.033070
1860.000000,41.918000,0.033450
1920.000000,41.952000,0.034030
1980.000000,42.263000,0.034470
2040.000000,42.589000,0.034760
2100.000000,42.745000,0.035130
2160.000000,42.985000,0.035580
2220.000000,43.393000,0.036090
2280.000000,43.534000,0.036460
2340.000000,43.970000,0.036530
2400.000000,44.102000,0.036940
2460.000000,44.503000,0.037310
2520.000000,44.663000,0.037660
2580.000000,44.701000,0.038120
2640.000000,45.138000,0.038400
2700.000000,45.323000,0.038580
2760.000000,45.324000,0.039030
2820.000000,45.462000,0.039400
2880.000000,45.818000,0.039540
2940.000000,45.739000,0.040130
3000.000000,45.930000,0.040110
3060.000000,45.999000,0.040760
3120.000000,46.512000,0.040700
3180.000000,46.602000,0.041280
3240.000000,46.761000,0.041570
3300.000000,46.933000,0.041870
3360.000000,46.912000,0.042050
3420.000000,47.089000,0.042290
3480.000000,47.008000,0.042470
3540.000000,47.111000,0.042770
3600.000000,47.485000,0.042720
3660.000000,47.498000,0.043120
3720.000000,47.646000,0.043330
3780.000000,47.840000,0.043690
3840.000000,47.873000,0.043730
3900.000000,47.926000,0.043890
3960.000000,48.016000,0.044200
4020.000000,47.977000,0.044220
4080.000000,47.926000,0.044350
4140.000000,48.199000,0.044680
4200.000000,48.166000,0.044830
4260.000000,48.331000,0.044910
4320.000000,48.615000,0.045140
4380.000000,48.380000,0.045300
4440.000000,48.357000,0.045430
4500.000000,48.526000,0.045610
4560.000000,48.590000,0.045890
4620.000000,48.825000,0.045850
4680.000000,48.827000,0.046290
4740.000000,48.988000,0.046410
4800.000000,48.979000,0.046330
4860.000000,48.900000,0.046390
4920.000000,49.144000,0.046600
4980.000000,48.870000,0.046870
5040.000000,48.840000,0.046890
5100.000000,48.913000,0.047070
5160.000000,49.261000,0.047050
5220.000000,49.169000,0.047200
5280.000000,49.056000,0.047130
5340.000000,49.257000,0.047440
5400.000000,49.116000,0.047280
5460.000000,49.415000,0.047600
5520.000000,49.321000,0.047770
5580.000000,49.317000,0.047510
5640.000000,49.304000,0.047820
5700.000000,49.492000,0.047650
5760.000000,49.384000,0.048020
5820.000000,49.272000,0.047790
5880.000000,49.310000,0.048270
5940.000000,49.749000,0.047950
6000.000000,49.743000,0.048410
6060.000000,49.660000,0.048400
6120.000000,49.463000,0.048360
6180.000000,49.830000,0.048510
6240.000000,49.753000,0.048580
6300.000000,49.739000,0.048710
6360.000000,49.622000,0.048420
6420.000000,49.550000,0.048640
6480.000000,49.477000,0.048450
6540.000000,49.891000,0.048750
6600.000000,49.683000,0.048580
6660.000000,49.569000,0.048820
6720.000000,49.633000,0.048860
6780.000000,49.781000,0.048850
6840.000000,49.592000,0.048920
6900.000000,49.941000,0.049080
6960.000000,49.902000,0.049130
7020.000000,49.892000,0.049020
7080.000000,49.759000,0.049110
7140.000000,49.865000,0.049300
7200.000000,49.852000,0.048940
7260.000000,49.893000,0.048970
7320.000000,49.619000,0.048980
7380.000000,49.792000,0.049290
7440.000000,49.612000,0.049200
7500.000000,49.845000,0.049410
7560.000000,49.770000,0.049380
7620.000000,49.683000,0.049240
7680.000000,49.669000,0.049540
7740.000000,49.916000,0.049500
7800.000000,49.714000,0.049280
7860.000000,50.095000,0.049350
7920.000000,49.929000,0.049340
7980.000000,49.817000,0.049290
8040.000000,49.943000,0.049300
8100.000000,49.664000,0.049710
8160.000000,50.135000,0.049480
8220.000000,49.902000,0.049470
8280.000000,50.056000,0.049660
8340.000000,49.710000,0.049590
8400.000000,49.915000,0.049800
8460.000000,49.920000,0.049730
8520.000000,50.147000,0.049600
8580.000000,49.967000,0.049560
8640.000000,49.921000,0.049880
8700.000000,49.821000,0.049760
8760.000000,49.856000,0.049890
8820.000000,49.953000,0.049490
8880.000000,49.915000,0.049860
8940.000000,49.708000,0.049770
9000.000000,50.163000,0.049810
9060.000000,50.198000,0.050040
9120.000000,49.820000,0.050090
9180.000000,50.027000,0.049760
9240.000000,49.804000,0.049980
9300.000000,50.086000,0.050160
9360.000000,49.891000,0.049900
9420.000000,50.080000,0.049980
9480.000000,50.113000,0.049970
9540.000000,50.134000,0.049900
9600.000000,49.804000,0.050210
9660.000000,50.208000,0.050140
9720.000000,49.865000,0.049810
9780.000000,49.769000,0.050250
9840.000000,50.027000,0.050190
9900.000000,49.935000,0.049890
9960.000000,50.165000,0.050170
10020.000000,50.154000,0.049800
10080.000000,49.909000,0.050250
10140.000000,50.226000,0.050080
10200.000000,49.895000,0.050080
10260.000000,50.008000,0.049800
10320.000000,49.878000,0.050200
10380.000000,50.218000,0.049760
10440.000000,49.832000,0.049870
10500.000000,49.772000,0.049820
10560.000000,49.968000,0.050140
10620.000000,50.246000,0.049850
10680.000000,50.196000,0.050210
10740.000000,50.124000,0.050080
10800.000000,50.195000,0.049770
10860.000000,50.197000,0.049750
10920.000000,50.009000,0.049780
10980.000000,49.908000,0.050050
11040.000000,50.136000,0.050150
11100.000000,50.081000,0.049870
11160.000000,49.937000,0.050170
11220.000000,49.797000,0.049780
11280.000000,50.123000,0.050150
11340.000000,49.881000,0.050210
11400.000000,50.218000,0.050140
11460.000000,49.870000,0.050100
11520.000000,49.811000,0.050170
11580.000000,50.166000,0.049770
11640.000000,49.827000,0.049850
11700.000000,49.840000,0.049810
11760.000000,50.050000,0.050000
11820.000000,50.187000,0.050120
11880.000000,49.848000,0.050070
11940.000000,49.905000,0.050180
12000.000000,50.139000,0.049830
12060.000000,50.236000,0.050120
12120.000000,50.000000,0.049850
12180.000000,49.822000,0.049890
12240.000000,49.757000,0.050100
12300.000000,49.865000,0.050240
12360.000000,49.816000,0.050060
12420.000000,50.089000,0.049780
12480.000000,49.811000,0.050060
12540.000000,50.003000,0.049770
12600.000000,50.097000,0.050190
12660.000000,50.041000,0.050100
12720.000000,49.850000,0.049840
12780.000000,50.152000,0.049800
12840.000000,50.108000,0.049840
12900.000000,50.119000,0.050240
12960.000000,49.816000,0.049980
13020.000000,49.812000,0.050140
13080.000000,50.214000,0.050070
13140.000000,49.949000,0.050040
13200.000000,49.900000,0.049820
13260.000000,49.994000,0.050220
13320.000000,50.081000,0.049900
13380.000000,50.228000,0.050040
13440.000000,49.893000,0.050100
13500.000000,50.212000,0.050070
13560.000000,49.762000,0.050220
13620.000000,50.028000,0.049820
13680.000000,50.067000,0.050000
13740.000000,49.803000,0.049950
13800.000000,49.820000,0.049990
13860.000000,49.960000,0.049810
13920.000000,50.233000,0.049820
13980.000000,50.048000,0.049890
14040.000000,50.217000,0.049900
14100.000000,50.152000,0.049960
14160.000000,49.984000,0.050060
14220.000000,50.142000,0.050070
14280.000000,49.759000,0.049960
14340.000000,49.805000,0.049950
14400.000000,50.165000,0.049860
