t_s,R_cm
0.000000,2.000000
1800.000000,1.873000
3600.000000,1.794000
5400.000000,1.703000
7200.000000,1.625000
9000.000000,1.589000
10800.000000,1.552000
12600.000000,1.510000
14400.000000,1.477000
16200.000000,1.447000
18000.000000,1.424000
19800.000000,1.397000
21600.000000,1.374000
23400.000000,1.356000
25200.000000,1.337000
27000.000000,1.321000
28800.000000,1.311000
30600.000000,1.299000
32400.000000,1.291000
34200.000000,1.281000
36000.000000,1.273000
37800.000000,1.266000
39600.000000,1.260000
41400.000000,1.253000
43200.000000,1.248000
45000.000000,1.244000
46800.000000,1.240000
48600.000000,1.236000
50400.000000,1.233000
52200.000000,1.229000
54000.000000,1.226000
55800.000000,1.223000
57600.000000,1.221000
59400.000000,1.219000
61200.000000,1.218000
63000.000000,1.216000
64800.000000,1.214000
66600.000000,1.213000
68400.000000,1.212000
70200.000000,1.211000
72000.000000,1.210000
73800.000000,1.209000
75600.000000,1.208000
77400.000000,1.207000
79200.000000,1.206000
81000.000000,1.206000
82800.000000,1.205000
84600.000000,1.205000
86400.000000,1.204000
88200.000000,1.204000
90000.000000,1.203000
91800.000000,1.203000
93600.000000,1.203000
95400.000000,1.203000
97200.000000,1.202000
99000.000000,1.202000
100800.000000,1.202000
102600.000000,1.202000
104400.000000,1.202000
106200.000000,1.201000
108000.000000,1.201000
109800.000000,1.201000
111600.000000,1.201000
113400.000000,1.201000
115200.000000,1.201000
117000.000000,1.201000
118800.000000,1.201000
120600.000000,1.201000
122400.000000,1.201000
124200.000000,1.201000
126000.000000,1.200000
127800.000000,1.200000
129600.000000,1.200000
131400.000000,1.200000
133200.000000,1.200000
135000.000000,1.200000
136800.000000,1.200000
138600.000000,1.200000
140400.000000,1.200000
142200.000000,1.200000
144000.000000,1.200000
145800.000000,1.200000
147600.000000,1.200000
149400.000000,1.200000
151200.000000,1.200000
153000.000000,1.200000
154800.000000,1.200000
156600.000000,1.200000
158400.000000,1.200000
160200.000000,1.200000
162000.000000,1.200000
163800.000000,1.200000
165600.000000,1.200000
167400.000000,1.200000
169200.000000,1.200000
171000.000000,1.200000
172800.000000,1.200000
174600.000000,1.200000
176400.000000,1.200000
178200.000000,1.200000
180000.000000,1.200000
181800.000000,1.200000
183600.000000,1.200000
185400.000000,1.200000
187200.000000,1.200000
189000.000000,1.200000
190800.000000,1.200000
192600.000000,1.200000
194400.000000,1.200000
196200.000000,1.200000
198000.000000,1.200000
199800.000000,1.200000
201600.000000,1.200000
203400.000000,1.200000
205200.000000,1.200000
207000.000000,1.200000
208800.000000,1.199000
210600.000000,1.199000
212400.000000,1.199000
214200.000000,1.199000
216000.000000,1.199000
217800.000000,1.199000
219600.000000,1.199000
221400.000000,1.199000
223200.000000,1.199000
225000.000000,1.199000
226800.000000,1.199000
228600.000000,1.199000
230400.000000,1.199000
232200.000000,1.199000
234000.000000,1.199000
235800.000000,1.199000
237600.000000,1.199000
239400.000000,1.199000
241200.000000,1.198000
243000.000000,1.198000
244800.000000,1.198000
246600.000000,1.198000
248400.000000,1.198000
250200.000000,1.198000
252000.000000,1.198000
253800.000000,1.198000
255600.000000,1.198000
257400.000000,1.198000
259200.000000,1.198000
