t_s,R_cm,dRdt_cm_per_s
0.00000000,2.00000000,-0.00007056
129.66483242,1.99070893,-0.00007267
259.32966483,1.98117711,-0.00007427
388.99449725,1.97147091,-0.00007536
518.65932966,1.96165671,-0.00007593
648.32416208,1.95180087,-0.00007600
777.98899450,1.94196976,-0.00007555
907.65382691,1.93222976,-0.00007459
1037.31865933,1.92264724,-0.00007312
1166.98349175,1.91328857,-0.00007114
1296.64832416,1.90422012,-0.00006865
1426.31315658,1.89550826,-0.00006564
1555.97798899,1.88721935,-0.00006212
1685.64282141,1.87941978,-0.00005809
1815.30765383,1.87217467,-0.00005372
1944.97248624,1.86541721,-0.00005058
2074.63731866,1.85903956,-0.00004786
2204.30215108,1.85298794,-0.00004555
2333.96698349,1.84720854,-0.00004366
2463.63181591,1.84164759,-0.00004218
2593.29664832,1.83625128,-0.00004112
2722.96148074,1.83096582,-0.00004047
2852.62631316,1.82573741,-0.00004024
2982.29114557,1.82051228,-0.00004042
3111.95597799,1.81523661,-0.00004102
3241.62081041,1.80985663,-0.00004203
3371.28564282,1.80431853,-0.00004346
3500.95047524,1.79856852,-0.00004530
3630.61530765,1.79255581,-0.00004736
3760.28014007,1.78632104,-0.00004877
3889.94497249,1.77991751,-0.00004996
4019.60980490,1.77337532,-0.00005091
4149.27463732,1.76672458,-0.00005163
4278.93946973,1.75999540,-0.00005212
4408.60430215,1.75321788,-0.00005238
4538.26913457,1.74642213,-0.00005240
4667.93396698,1.73963826,-0.00005220
4797.59879940,1.73289638,-0.00005176
4927.26363182,1.72622658,-0.00005108
5056.92846423,1.71965898,-0.00005018
5186.59329665,1.71322369,-0.00004904
5316.25812906,1.70695081,-0.00004767
5445.92296148,1.70084641,-0.00004712
5575.58779390,1.69466774,-0.00004812
5705.25262631,1.68838443,-0.00004873
5834.91745873,1.68204747,-0.00004895
5964.58229115,1.67570785,-0.00004877
6094.24712356,1.66941658,-0.00004820
6223.91195598,1.66322464,-0.00004724
6353.57678839,1.65718303,-0.00004588
6483.24162081,1.65134275,-0.00004413
6612.90645323,1.64575479,-0.00004199
6742.57128564,1.64047015,-0.00003946
6872.23611806,1.63553982,-0.00003653
7001.90095048,1.63101480,-0.00003320
7131.56578289,1.62694609,-0.00002949
7261.23061531,1.62335494,-0.00002637
7390.89544772,1.62006298,-0.00002444
7520.56028014,1.61700601,-0.00002275
7650.22511256,1.61415319,-0.00002129
7779.88994497,1.61147366,-0.00002008
7909.55477739,1.60893656,-0.00001910
8039.21960980,1.60651104,-0.00001836
8168.88444222,1.60416625,-0.00001785
8298.54927464,1.60187134,-0.00001759
8428.21410705,1.59959544,-0.00001756
8557.87893947,1.59730772,-0.00001777
8687.54377189,1.59497731,-0.00001822
8817.20860430,1.59257337,-0.00001890
8946.87343672,1.59006503,-0.00001983
9076.53826913,1.58745053,-0.00002022
9206.20310155,1.58483411,-0.00002015
9335.86793397,1.58222494,-0.00002011
9465.53276638,1.57961889,-0.00002010
9595.19759880,1.57701185,-0.00002012
9724.86243122,1.57439970,-0.00002018
9854.52726363,1.57177833,-0.00002026
9984.19209605,1.56914361,-0.00002038
10113.85692846,1.56649145,-0.00002053
10243.52176088,1.56381771,-0.00002071
10373.18659330,1.56111829,-0.00002093
10502.85142571,1.55838907,-0.00002117
10632.51625813,1.55562593,-0.00002145
10762.18109055,1.55282476,-0.00002176
10891.84592296,1.54996662,-0.00002241
11021.51075538,1.54701605,-0.00002308
11151.17558779,1.54398749,-0.00002361
11280.84042021,1.54089820,-0.00002401
11410.50525263,1.53776546,-0.00002428
11540.17008504,1.53460653,-0.00002442
11669.83491746,1.53143868,-0.00002442
11799.49974987,1.52827917,-0.00002429
11929.16458229,1.52514527,-0.00002403
12058.82941471,1.52205425,-0.00002363
12188.49424712,1.51902336,-0.00002310
12318.15907954,1.51606988,-0.00002243
12447.82391196,1.51321108,-0.00002164
12577.48874437,1.51046421,-0.00002071
12707.15357679,1.50782177,-0.00002013
12836.81840920,1.50524178,-0.00001967
12966.48324162,1.50271789,-0.00001926
13096.14807404,1.50024475,-0.00001889
13225.81290645,1.49781699,-0.00001856
13355.47773887,1.49542927,-0.00001827
13485.14257129,1.49307622,-0.00001803
13614.80740370,1.49075249,-0.00001782
13744.47223612,1.48845272,-0.00001766
13874.13706853,1.48617155,-0.00001753
14003.80190095,1.48390363,-0.00001745
14133.46673337,1.48164359,-0.00001741
14263.13156578,1.47938609,-0.00001741
14392.79639820,1.47712576,-0.00001746
14522.46123062,1.47485747,-0.00001752
14652.12606303,1.47258308,-0.00001755
14781.79089545,1.47030827,-0.00001753
14911.45572786,1.46803872,-0.00001747
15041.12056028,1.46578012,-0.00001736
15170.78539270,1.46353815,-0.00001721
15300.45022511,1.46131848,-0.00001702
15430.11505753,1.45912681,-0.00001678
15559.77988994,1.45696882,-0.00001650
15689.44472236,1.45485019,-0.00001617
15819.10955478,1.45277660,-0.00001580
15948.77438719,1.45075373,-0.00001539
16078.43921961,1.44878727,-0.00001493
16208.10405203,1.44688293,-0.00001443
16337.76888444,1.44505130,-0.00001384
16467.43371686,1.44329019,-0.00001334
16597.09854927,1.44158867,-0.00001292
16726.76338169,1.43993580,-0.00001259
16856.42821411,1.43832063,-0.00001234
16986.09304652,1.43673223,-0.00001217
17115.75787894,1.43515965,-0.00001210
17245.42271136,1.43359196,-0.00001210
17375.08754377,1.43201821,-0.00001219
17504.75237619,1.43042747,-0.00001236
17634.41720860,1.42880880,-0.00001262
