t_s,C_center
0.000000,2.550000
5.000000,2.550000
10.000000,2.550000
15.000000,2.550000
20.000000,2.550000
25.000000,2.550000
30.000000,2.550000
35.000000,2.550000
40.000000,2.550000
45.000000,2.550000
50.000000,2.550000
55.000000,2.550000
60.000000,2.550000
65.000000,2.550000
70.000000,2.550000
75.000000,2.550000
80.000000,2.550000
85.000000,2.550000
90.000000,2.550000
95.000000,2.550000
100.000000,2.550000
105.000000,2.550000
110.000000,2.550000
115.000000,2.550000
120.000000,2.550000
125.000000,2.550000
130.000000,2.550000
135.000000,2.550000
140.000000,2.550000
145.000000,2.550000
150.000000,2.550000
155.000000,2.550000
160.000000,2.550000
165.000000,2.550000
170.000000,2.550000
175.000000,2.550000
180.000000,2.550000
185.000000,2.550000
190.000000,2.550000
195.000000,2.550000
200.000000,2.550000
205.000000,2.550000
210.000000,2.550000
215.000000,2.550000
220.000000,2.550000
225.000000,2.550000
230.000000,2.550000
235.000000,2.550000
240.000000,2.550000
245.000000,2.550000
250.000000,2.550000
255.000000,2.550000
260.000000,2.550000
265.000000,2.550000
270.000000,2.550000
275.000000,2.550000
280.000000,2.550000
285.000000,2.550000
290.000000,2.550000
295.000000,2.550000
300.000000,2.550000
305.000000,2.550000
310.000000,2.550000
315.000000,2.550000
320.000000,2.550000
325.000000,2.550000
330.000000,2.550000
335.000000,2.550000
340.000000,2.550000
345.000000,2.550000
350.000000,2.550000
355.000000,2.550000
360.000000,2.550000
365.000000,2.550000
370.000000,2.550000
375.000000,2.550000
380.000000,2.550000
385.000000,2.550000
390.000000,2.550000
395.000000,2.550000
400.000000,2.550000
405.000000,2.550000
410.000000,2.550000
415.000000,2.550000
420.000000,2.550000
425.000000,2.550000
430.000000,2.550000
435.000000,2.550000
440.000000,2.550000
445.000000,2.550000
450.000000,2.550000
455.000000,2.550000
460.000000,2.550000
465.000000,2.550000
470.000000,2.550000
475.000000,2.550000
480.000000,2.550000
485.000000,2.550000
490.000000,2.550000
495.000000,2.550000
500.000000,2.550000
505.000000,2.550000
510.000000,2.550000
515.000000,2.550000
520.000000,2.550000
525.000000,2.550000
530.000000,2.550000
535.000000,2.550000
540.000000,2.550000
545.000000,2.550000
550.000000,2.550000
555.000000,2.550000
560.000000,2.550000
565.000000,2.550000
570.000000,2.550000
575.000000,2.550000
580.000000,2.550000
585.000000,2.550000
590.000000,2.550000
595.000000,2.550000
600.000000,2.550000
605.000000,2.550000
610.000000,2.550000
615.000000,2.550000
620.000000,2.550000
625.000000,2.550000
630.000000,2.550000
635.000000,2.550000
640.000000,2.550000
645.000000,2.550000
650.000000,2.550000
655.000000,2.550000
660.000000,2.550000
665.000000,2.550000
670.000000,2.550000
675.000000,2.550000
680.000000,2.550000
685.000000,2.550000
690.000000,2.550000
695.000000,2.550000
700.000000,2.550000
705.000000,2.550000
710.000000,2.550000
715.000000,2.550000
720.000000,2.550000
725.000000,2.550000
730.000000,2.550000
735.000000,2.550000
740.000000,2.550000
745.000000,2.550000
750.000000,2.550000
755.000000,2.550000
760.000000,2.550000
765.000000,2.550000
770.000000,2.550000
775.000000,2.550000
780.000000,2.550000
785.000000,2.550000
790.000000,2.550000
795.000000,2.550000
800.000000,2.550000
805.000000,2.550000
810.000000,2.550000
815.000000,2.550000
820.000000,2.550000
825.000000,2.550000
830.000000,2.550000
835.000000,2.550000
840.000000,2.550000
845.000000,2.550000
850.000000,2.550000
855.000000,2.550000
860.000000,2.550000
865.000000,2.550000
870.000000,2.550000
875.000000,2.550000
880.000000,2.550000
885.000000,2.550000
890.000000,2.550000
895.000000,2.550000
900.000000,2.550000
905.000000,2.550000
910.000000,2.550000
915.000000,2.550000
920.000000,2.550000
925.000000,2.550000
930.000000,2.550000
935.000000,2.550000
940.000000,2.550000
945.000000,2.550000
950.000000,2.550000
955.000000,2.550000
960.000000,2.550000
965.000000,2.550000
970.000000,2.550000
975.000000,2.550000
980.000000,2.550000
985.000000,2.550000
990.000000,2.550000
995.000000,2.550000
1000.000000,2.550000
1005.000000,2.550000
1010.000000,2.550000
1015.000000,2.550000
1020.000000,2.550000
1025.000000,2.550000
1030.000000,2.550000
1035.000000,2.550000
1040.000000,2.550000
