form,N,dt_s,t_center_s,t_surface_s
cons,20,5,216215.0,51130.0
cons,50,5,218575.0,51055.0
cons,100,2,219328.0,51032.0
cons,100,5,219340.0,51035.0
cons,100,10,219360.0,51050.0
cons,100,20,219400.0,51060.0
cons,100,60,219540.0,51120.0
cons,100,120,219720.0,51240.0
cons,200,5,219685.0,51030.0
cons,400,5,219830.0,51030.0
fick,20,5,203335.0,45300.0
fick,50,5,205625.0,45220.0
fick,100,2,206354.0,45198.0
fick,100,5,206365.0,45205.0
fick,100,10,206380.0,45210.0
fick,100,20,206420.0,45240.0
fick,100,60,206580.0,45300.0
fick,100,120,206760.0,45480.0
fick,200,5,206700.0,45200.0
fick,400,5,206840.0,45195.0
